"Direct Costs Export - 02/27/2026 11:32 AM
",,,,,
"Project: 24-115 Westfield Collective - Westfield, IN
",,,,,
09/18/2025 09:59 AM,Approved,Expense,Pay Period 8.24.25 - 9.06.25 Pay Date 9.12.25,,"$15,322.64"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - Make a path & cover it with wood chip,,"$1,300.00"
09/18/2025 12:51 PM,Approved,Invoice,Westfield Collective,,"$1,080.70"
09/18/2025 12:51 PM,Approved,Invoice,INV I39649 - Trailer Water & Waste tank - Westfield Collective,,$250.00
09/18/2025 10:45 AM,Approved,Expense,Pay Period 8.24.25 - 9.06.25 Pay Date 9.12.25 (Per Diem),,$200.38
10/31/2025 03:06 PM,Approved,Expense,Pay Period 10.05.25 through 10.18.25 Pay Date 10.24.25,,"$25,945.73"
10/21/2025 04:04 AM,Approved,Invoice,Invoice 291689 : Westfield Collective 10/10/25,,$683.00
10/07/2025 04:04 AM,Approved,Invoice,Westfield Collective - City of Westfield September Inspection Fees,,$225.00
10/21/2025 04:04 AM,Approved,Invoice,INV I40841 - Trailer Water & Waste tank - Westfield Collective,,$500.00
10/17/2025 10:12 AM,Approved,Expense,Pay Period 9.21.25 through 10.04.25 Pay Date 10.10.25,,"$17,512.27"
10/17/2025 10:46 AM,Approved,Expense,Pay Period 9.21.25 through 10.04.25 Pay Date 10.10.25 (Per Diem-Cell),,$236.25
10/03/2025 04:04 AM,Approved,Invoice,Invoice 289109 : Westfield Collective 09/17/25,,$499.00
10/21/2025 04:04 AM,Approved,Invoice,Westfield Collective,,"$1,080.70"
10/21/2025 04:04 AM,Approved,Invoice,INV I40840 - Standard Toilet - Westfield Collective,,$250.00
11/05/2025 05:05 AM,Approved,Invoice,IND-5908347-0000 - Westfield Collective,,"$1,338.33"
11/05/2025 08:21 AM,Approved,Expense,Inv29347091 Westfield Collective,,"-$1,019.74"
11/06/2025 05:06 AM,Approved,Invoice,Inv29347091 Westfield Collective,,"$1,019.74"
11/06/2025 05:06 AM,Approved,Invoice,Inv29355876 Westfield Collective,,$662.18
11/05/2025 01:06 PM,Approved,Expense,GET GO #7551,,$55.44
11/06/2025 05:06 AM,Approved,Invoice,Inv29355877 Westfield Collective,,$230.32
11/06/2025 05:06 AM,Approved,Invoice,2003923962-001 Westfield Collective,,$273.22
11/06/2025 05:06 AM,Approved,Invoice,Inv29347091 Westfield Collective,,"$1,019.74"
11/05/2025 05:05 AM,Approved,Invoice,Westfield Collective - Construction Administration,,$665.00
11/12/2025 05:04 AM,Approved,Invoice,Westfield Collective - Monthly Erosion Inspection,,$37.50
11/13/2025 05:04 AM,Approved,Invoice,Inv29362637 Westfield Collective,,$518.22
11/13/2025 10:32 AM,Approved,Expense,Pay Period 10.19.25 through 11.01.25 Pay Date 11.07.25 (Per Diem),,$161.00
11/05/2025 05:05 AM,Approved,Invoice,IND-5908347-0001 - Westfield Collective,,$279.87
12/05/2025 03:51 PM,Approved,Invoice,Inv29387301 Westfield Collective,,"$1,224.17"
12/04/2025 09:12 AM,Approved,Expense,MEIJER EXPRESS 130,,$50.00
12/04/2025 09:15 AM,Approved,Expense,ALPHA BUILDING-NAPPANEE,,"$7,217.47"
12/05/2025 08:21 AM,Approved,Expense,Pay Period 11.16.25 - 11.29.25 Pay Date 12.05.25 (Per Diem),,$157.50
12/05/2025 07:04 PM,Approved,Expense,Record Oct '25 Insurance,,"$10,000.00"
12/05/2025 08:20 PM,Approved,Expense,Record Oct '25 Insurance Accrual,,"$45,449.17"
11/18/2025 05:04 AM,Approved,Invoice,INV I41965 - Trailer Water Tank Rental - Westfield Collective,,$535.50
11/19/2025 05:07 AM,Approved,Invoice,"Invoice 294716 : Westfield Collective Nov 12, 2025",,$499.00
11/20/2025 03:33 PM,Approved,Expense,UBER *TRIP,,$4.92
11/20/2025 03:34 PM,Approved,Expense,UBER *TRIP,,$54.98
11/05/2025 05:05 AM,Approved,Invoice,Invoice 292952 : Westfield Collective 10/23/25,,$615.67
08/07/2025 08:44 AM,Approved,Invoice,Fixed Fee Services - Construction Documentation (Hourly Services) -Westfield Collective,,"$1,900.00"
11/19/2025 05:07 AM,Approved,Invoice,Westfield Collective,,$409.38
11/20/2025 03:34 PM,Approved,Expense,UBER *TRIP,,$7.40
11/21/2025 05:05 AM,Approved,Invoice,Inv29373090 Westfield Collective,,$439.05
11/20/2025 03:33 PM,Approved,Expense,UBER *TRIP,,$6.90
11/20/2025 03:34 PM,Approved,Expense,UBER *TRIP,,$6.84
11/25/2025 09:37 AM,Approved,Expense,UBER   *TRIP,,$18.46
11/25/2025 09:37 AM,Approved,Expense,UBER   *TRIP,,$18.46
11/25/2025 09:42 AM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$281.33
11/25/2025 09:44 AM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$48.50
07/08/2025 11:09 AM,Approved,Expense,Fixed Fee Services - Construction Documentation (75% complete) -Westfield Collective,,"-$31,500.00"
06/10/2025 10:26 AM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$53.48
06/10/2025 12:17 PM,Approved,Expense,BEST BUY      00002295 adj duplicate,,-$48.14
06/10/2025 12:22 PM,Approved,Expense,EXTRA SPACE 3735,,$395.72
06/10/2025 01:00 PM,Approved,Expense,INDIANA SECRETARY OF STAT,,$26.00
06/10/2025 01:02 PM,Approved,Expense,Autodesk ADY,,"$1,880.50"
06/10/2025 01:08 PM,Approved,Expense,BLUEBEAM INC.,,$302.50
07/07/2025 01:11 PM,Approved,Expense,AMAZON MKTPL*NH66259L0,,$7.69
07/31/2025 03:42 PM,Approved,Expense,WEST FORK WHISKEY CO,,$88.45
08/18/2025 07:29 AM,Approved,Expense,SKYHARBORPARKINGTERM4,,$165.00
08/21/2025 10:50 AM,Approved,Expense,UBER   *TRIP,,$44.94
08/21/2025 10:52 AM,Approved,Expense,TWIN PEAKS INDY,,$49.93
06/11/2025 02:14 PM,Approved,Expense,Pay Date 04/25/2025 | Pay Period for : B 04/06/2025 to 04/19/2025,,"$10,977.32"
07/08/2025 10:34 AM,Approved,Expense,Fixed Fee Services - Construction Documentation (75% complete) -Westfield Collective - GL Reclass,,$0.00
07/25/2025 12:43 PM,Approved,Expense,Pay Date 06/06/2025 | Pay Period for : B 05/18/2025 to 05/31/2025,,"$12,712.28"
08/11/2025 03:26 PM,Approved,Expense,Pay Date 06/06/2025 | Pay Period for : B 05/18/2025 to 05/31/2025,,$197.75
08/13/2025 01:44 PM,Approved,Expense,Pay Date 07/03/2025_Pay period 06/15/2025 to 06/28/2025-Per Diem-Cellphone,,$189.00
08/13/2025 01:52 PM,Approved,Expense,Pay Date 07/03/2025_Pay period 06/15/2025 to 06/28/2025-Per Diem-Cellphone,,-$189.00
10/03/2025 07:51 AM,Approved,Expense,Pay Period 9.07.25 through 9.20.25 Pay Date 9.26.25,,"$13,204.72"
11/13/2025 10:25 AM,Approved,Expense,Pay Period 10.19.25 through 11.01.25 Pay Date 11.07.25,,"$17,997.27"
07/11/2025 07:34 PM,Approved,Invoice,Invoice 275950 : Westfield Collective 5/7; 5/9/25,,"$1,276.40"
07/11/2025 07:34 PM,Approved,Invoice,CVG41-5250806-0000 - Westfield Collective,,$706.20
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Construction Documentation (100% complete) -Westfield Collective,,"$4,200.00"
07/29/2025 01:31 PM,Approved,Invoice,Inv25133 - Structural Steel Cleaning - Westfield Collective,,"$2,500.00"
08/04/2025 08:39 AM,Approved,Invoice,IN-10130 Design Fees Westfield Collective (2/3),,"$5,302.44"
08/08/2025 05:16 AM,Approved,Invoice,Fixed Fee Services - Construction Documentation (Hourly Services) -Westfield Collective,,"$4,050.00"
09/09/2025 05:17 AM,Approved,Invoice,Fixed Fee Services - Construction Documentation (Hourly Services) -Westfield Collective,,"$2,782.50"
10/07/2025 04:04 AM,Approved,Invoice,Fixed Fee Services - Construction Admin (Hourly Services) -Westfield Collective,,$700.00
10/07/2025 04:04 AM,Approved,Invoice,Inv 2025100050094- Final Payment for Utility Relocation- Westfield Collective,,"$15,180.09"
11/12/2025 05:04 AM,Approved,Invoice,INV I41961 - Standard Toilet - Westfield Collective,,$250.00
12/02/2025 02:04 PM,Approved,Expense,Record Sep '25 Insurance,,"$20,000.00"
12/04/2025 08:55 AM,Approved,Expense,INDIANA SECRETARY OF STAT,,$31.00
12/04/2025 09:00 AM,Approved,Expense,ARC East,,$504.69
12/04/2025 09:01 AM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$156.17
12/04/2025 09:05 AM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$19.33
12/04/2025 09:10 AM,Approved,Expense,LOWES #01525*,,$119.58
12/01/2025 12:51 PM,Approved,Expense,Pay Period 11.02.25 through 11.15.25 Pay Date 11.21.25,,"$9,502.79"
12/04/2025 08:55 AM,Approved,Expense,KROGER FUEL #4406,,$96.62
12/04/2025 08:59 AM,Approved,Expense,ARC East,,"$1,451.39"
12/04/2025 09:00 AM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$39.95
12/04/2025 09:04 AM,Approved,Expense,THE HOME DEPOT #2018,,$23.52
12/04/2025 09:10 AM,Approved,Expense,LOWES #01525*,,$298.96
12/04/2025 09:12 AM,Approved,Expense,LOWES #01525*,,$149.65
12/04/2025 09:15 AM,Approved,Expense,MENARDS CARMEL IN,,$21.39
12/04/2025 08:58 AM,Approved,Expense,DUKE ENERGY INDIANA,,"$1,657.14"
12/04/2025 09:00 AM,Approved,Expense,BUFFALO WILD ECOM 3265,,$60.43
12/04/2025 09:02 AM,Approved,Expense,ARC East,,$287.19
12/04/2025 09:07 AM,Approved,Expense,LOWES #01525*,,$192.34
12/04/2025 09:11 AM,Approved,Expense,LOWES #01525*,,$59.79
11/25/2025 09:42 AM,Approved,Expense,SOUTHWES 5262100152887,,$543.96
12/12/2025 02:50 PM,Approved,Expense,To allocate 3 Quarterdeck invoice - Jim Parker Consulting services,,$666.66
12/19/2025 05:08 AM,Approved,Invoice,Inv29393580 Westfield Collective,,$937.69
12/19/2025 05:08 AM,Approved,Invoice,Inv29400016 Westfield Collective,,"$2,182.01"
12/23/2025 12:59 PM,Approved,Expense,Pay Period 11.30.25 through 12.13.25 Pay Date 12.19.25,,"$9,358.02"
01/06/2026 05:07 AM,Approved,Invoice,Inv 29417561 Westfield Collective,,$777.33
01/13/2026 05:13 AM,Approved,Invoice,Inv 29419973 Westfield Collective,,"$1,770.59"
01/13/2026 05:13 AM,Approved,Invoice,Inv 29419974 Westfield Collective,,$813.91
01/15/2026 11:12 AM,Approved,Expense,Pay Period 12.14.25 through 12.27.25 Pay Date 01.02.26,,"$11,560.11"
01/15/2026 11:17 AM,Approved,Expense,Pay Period 12.14.25 through 12.27.25 Pay Date 01.02.26 (Per Diem),,$276.00
01/16/2026 05:15 AM,Approved,Invoice,Inv 29426864 Westfield Collective,,"$4,468.87"
01/16/2026 05:15 AM,Approved,Invoice,Inv 29426865 Westfield Collective,,$230.32
01/16/2026 12:10 PM,Approved,Expense,ROMEOCTARBA,,"$1,228.36"
01/16/2026 12:10 PM,Approved,Expense,SPEEDWAY 43823,,$35.43
01/16/2026 12:10 PM,Approved,Expense,SPEEDWAY 43823,,$37.52
01/16/2026 12:11 PM,Approved,Expense,SPEEDWAY 43823,,$39.88
01/16/2026 12:12 PM,Approved,Expense,SPEEDWAY 43823,,$91.04
01/16/2026 12:13 PM,Approved,Expense,SPEEDWAY 43823,,$89.85
01/16/2026 12:14 PM,Approved,Expense,LOWES #01525*,,$149.61
01/16/2026 12:14 PM,Approved,Expense,SPEEDWAY 43823,,$30.79
01/16/2026 12:15 PM,Approved,Expense,LOWES #00907*,,"$1,354.28"
01/16/2026 12:15 PM,Approved,Expense,SPEEDWAY 43823,,$34.51
01/16/2026 12:21 PM,Approved,Expense,SPEEDWAY 43823,,$26.59
01/16/2026 12:22 PM,Approved,Expense,MENARDS CARMEL IN,,$86.63
01/16/2026 12:22 PM,Approved,Expense,UBER   *TRIP,,$59.89
01/16/2026 12:23 PM,Approved,Expense,UBER   *TRIP,,$38.93
01/16/2026 12:23 PM,Approved,Expense,IN BMV INTERNET RENEWAL 2,,$471.57
01/16/2026 12:23 PM,Approved,Expense,GRAINGER,,"$16,179.89"
01/21/2026 05:10 AM,Approved,Invoice,Inv29408581 Westfield Collective - IBEACH3,,"$1,461.12"
02/13/2026 01:18 PM,Approved,Expense,Pay Period Jan.25 through Feb.07 Pay Date Feb.13.26,,"$14,095.38"
01/30/2026 03:55 PM,Approved,Expense,MENARDS CARMEL IN,,$123.36
01/30/2026 03:59 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$91.77
01/30/2026 04:00 PM,Approved,Expense,LOWES #01525*,,$53.01
02/16/2026 12:23 PM,Approved,Expense,Pay Period Jan.25 through Feb.07 Pay Date Feb.13.26 (Per Diem),,$210.00
01/30/2026 03:54 PM,Approved,Expense,MENARDS CARMEL IN,,$56.73
01/30/2026 03:59 PM,Approved,Expense,MENARDS CARMEL IN,,$14.02
01/30/2026 04:00 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$30.76
01/30/2026 04:01 PM,Approved,Expense,LOWES #01525*,,$101.48
01/30/2026 03:58 PM,Approved,Expense,LOWES #01525*,,$178.56
01/30/2026 04:00 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$68.26
01/30/2026 04:01 PM,Approved,Expense,SPEEDWAY 43823,,$72.75
02/09/2026 02:31 PM,Approved,Expense,Pay Period Dec.28.25 through Jan.10.26 Pay Date Jan.16.26,,"$8,744.34"
02/11/2026 02:58 PM,Approved,Expense,AMAZON MKTPL*1I6WI5KM3,,$208.64
02/11/2026 03:02 PM,Approved,Expense,LOWES #01525*,,$48.09
02/11/2026 03:02 PM,Approved,Expense,LOWES #01525*,,$88.68
02/11/2026 03:02 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$94.07
02/11/2026 03:02 PM,Approved,Expense,LOWES #01525*,,$95.64
02/10/2026 07:59 AM,Approved,Expense,Pay Period Jan.11 through Jan.24 Pay Date Jan.30.26,,"$8,373.44"
02/12/2026 10:18 AM,Approved,Expense,LOWES #01525*,,$56.90
02/12/2026 10:19 AM,Approved,Expense,SPEEDWAY 43823,,$12.67
02/12/2026 10:19 AM,Approved,Expense,SPEEDWAY 43823,,$50.00
02/12/2026 10:19 AM,Approved,Expense,FAMILY EXPRESS #77,,$54.18
02/12/2026 10:18 AM,Approved,Expense,SPEEDWAY 43823,,$14.44
02/12/2026 10:19 AM,Approved,Expense,LOWES #01525*,,$42.29
02/12/2026 10:19 AM,Approved,Expense,CIRCLE K 02368,,$61.15
02/12/2026 10:18 AM,Approved,Expense,SPEEDWAY 43823,,$15.23
02/12/2026 10:19 AM,Approved,Expense,SPEEDWAY 43823,,$12.78
02/12/2026 10:19 AM,Approved,Expense,GET GO # 7547,,$54.05
02/12/2026 10:20 AM,Approved,Expense,LOWES #01525*,,$88.08
