issue_number,feedback_item_id,created_at,inbox_section,inbox_status,severity,category,tool,submitted_from_path,submitted_from_url,page_title,title,description,github_state_from_db,status_summary,proof_bucket,next_action,screenshot_path,evidence_label,evidence_url,github_issue_url,velt_comment_url,attachment_urls
561,0564b495-0439-432c-8d38-d042070197bd,2026-07-01T03:30:51.701233+00:00,Not marked verified,resolved,high,,Budget,/876/budget,http://localhost:3001/876/budget,Alleato AI - Project Management,Why are all these pencils and trash cans showing when the budget is locked and you can't change anything?,Why are all these pencils and trash cans showing when the budget is locked and you can't change anything?,open,Feedback: resolved; Budget audit excluded,Excluded - budget audit,Handle in separate budget audit queue.,,Excluded from the current non-budget audit pass,,https://github.com/MeganHarrison/alleato-pm/issues/561,https://projects.alleatogroup.com/876/budget?scommentId=gtWLdw2dCHban9JvmXbT,
560,553d38bb-9d8c-4b5b-b89d-f198a5c562a4,2026-07-01T03:30:50.964253+00:00,Not marked verified,resolved,medium,,Budget,/876/budget,http://localhost:3001/876/budget,Alleato AI - Project Management,"The division shouldn't have focasting, refrence the screen shot.","The division shouldn't have focasting, refrence the screen shot.",open,Feedback: resolved; Budget audit excluded,Excluded - budget audit,Handle in separate budget audit queue.,,Excluded from the current non-budget audit pass,,https://github.com/MeganHarrison/alleato-pm/issues/560,https://projects.alleatogroup.com/876/budget?scommentId=sRNDb8pBYY5QrUSAD6v4,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4714152224680155%2Fcomment%2FsRNDb8pBYY5QrUSAD6v4%2F918836_XRAt5depbKyub3PpaF7D.png?alt=media&token=b2e6a910-876b-4133-9bf0-4d8b11336f91
559,29d8d004-79ca-4874-a954-451ed5618d2e,2026-07-01T03:30:50.185755+00:00,Not marked verified,resolved,medium,,Budget,/876/budget,http://localhost:3001/876/budget,Budget - Project - Exol Morrisville,budget modifications aren't showing up.,budget modifications aren't showing up.,open,Feedback: resolved; Budget audit excluded,Excluded - budget audit,Handle in separate budget audit queue.,,Excluded from the current non-budget audit pass,,https://github.com/MeganHarrison/alleato-pm/issues/559,https://projects.alleatogroup.com/876/budget?scommentId=7X236rN6O2NyxB6qRGNX,
558,842a7be8-db1f-4bf7-94c7-3dc7a6eb8caf,2026-07-01T03:30:49.456869+00:00,Not marked verified,resolved,high,,Budget,/876/budget,http://localhost:3001/876/budget,Budget - Project - Exol Morrisville,"it wont let me edit forcast to complete, please refrence Procore budget.","it wont let me edit forcast to complete, please refrence Procore budget.",open,Feedback: resolved; Budget audit excluded,Excluded - budget audit,Handle in separate budget audit queue.,,Excluded from the current non-budget audit pass,,https://github.com/MeganHarrison/alleato-pm/issues/558,https://projects.alleatogroup.com/876/budget?scommentId=loCcMIjYanl6bcm5Lowt,
557,07890e7a-306b-4bb3-9e19-01c3e5f23b1e,2026-07-01T03:30:48.744407+00:00,Not marked verified,resolved,medium,,Change Events,/876/change-events/new,http://localhost:3001/876/change-events/new,Alleato AI - Project Management,"I should not be able to add a company here. Also when I selected R.J Skeldon, then I tried to unslect them and it wouldn't let me.","I should not be able to add a company here. Also when I selected R.J Skeldon, then I tried to unslect them and it wouldn't let me.",open,Feedback: resolved; Audit: not fixed,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-new-vendor-pointer-clear.png,Change Events vendor workflow proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/557,https://projects.alleatogroup.com/876/change-events/new?scommentId=wJPwUZLCsUznN3TyUHYa,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F358493686604196%2Fcomment%2FwJPwUZLCsUznN3TyUHYa%2F695198_D1bUGHAdnQ87faV5lXZa.png?alt=media&token=2c434179-a9de-4ef2-b78c-0ccd3d03ee88
556,6ac401a7-c2df-4391-bfbb-44f9356495b9,2026-07-01T03:30:48.005755+00:00,Not marked verified,resolved,high,,Change Events,/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,http://localhost:3001/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,001 - Added Opening - Project - Exol Morrisville,export function failed.,export function failed.,open,Feedback: resolved; Audit: lower-confidence closed / follow-up pending route proof,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-detail-current-loaded.png,Change Events detail-route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/556,https://projects.alleatogroup.com/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9?scommentId=aozkIj82bWj4Rgsv5ynZ,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F2210658593981595%2Fcomment%2FaozkIj82bWj4Rgsv5ynZ%2F921450_vCstcP0NE4zorTesTHaV.png?alt=media&token=3dacd0f9-05e7-4479-9f20-458f39af8c6f
554,23f32b4b-17aa-4b03-9cb6-8e4d098ec725,2026-07-01T03:30:46.311093+00:00,Not marked verified,resolved,medium,,Change Events,/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,http://localhost:3001/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,001 - Added Opening - Project - Exol Morrisville,"Columns aren't lining up, look at qty and unit cost, the values below are not under it.","Columns aren't lining up, look at qty and unit cost, the values below are not under it.",open,Feedback: resolved; Audit: not fixed,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-detail-current-loaded.png,Change Events detail-route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/554,https://projects.alleatogroup.com/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9?scommentId=eCpddj6XaVDdsf6dTI5j,
552,195edb0e-7096-4d10-9d3a-a05a6e9e1154,2026-07-01T03:30:42.074597+00:00,Not marked verified,resolved,high,,Change Events,/876/change-events,http://localhost:3001/876/change-events,Alleato OS,"this amount is wrong, this commitment is 28k, not sure where it is pulling from.","this amount is wrong, this commitment is 28k, not sure where it is pulling from.",open,Feedback: resolved; Audit: lower-confidence closed / not yet fully verified,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-list-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/552,https://projects.alleatogroup.com/876/change-events?scommentId=7jKXugrPa4pgwJzKxCwK,
551,7a93948f-0e50-4a73-b086-5f80e2f2d88a,2026-07-01T03:30:41.233046+00:00,Not marked verified,resolved,high,,Change Events,/876/change-events,http://localhost:3001/876/change-events,Alleato OS,What is all this? Doesn't make any sense.,What is all this? Doesn't make any sense.,open,Feedback: resolved; Audit: lower-confidence closed / not yet fully verified,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-list-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/551,https://projects.alleatogroup.com/876/change-events?scommentId=RTVGF9pwhuTuQ88KrWcx,
549,28eff314-295b-415b-873c-f4cf44d62eef,2026-07-01T03:29:22.512612+00:00,Not marked verified,resolved,medium,,Change Events,/876/change-events,http://localhost:3001/876/change-events,Alleato OS,no bar to scroll right to left.,no bar to scroll right to left.,open,Feedback: resolved; Batch 1: partial / blocked; current local rerun still needed,Needs verification,"Run one focused route proof for the missing behavior, not a full retest.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-549/screenshots/issue-549-blocked-chrome-error.png,Batch 1 report,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-549/report.md,https://github.com/MeganHarrison/alleato-pm/issues/549,https://projects.alleatogroup.com/876/change-events?scommentId=R9t6VPMnnWVMV2yGKD0M,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F5289976256185480%2Fcomment%2FR9t6VPMnnWVMV2yGKD0M%2F183589_F56DNXX8iztmZGvdABOR.png?alt=media&token=d7389922-e1a7-42e0-ba66-2da6275caff9
544,59c37d18-ca43-46d0-9668-0ae18f167436,2026-07-01T02:42:14.136039+00:00,Not marked verified,resolved,medium,,RFIs,/876/rfis/fe13bf4e-dbb6-494a-bb50-b8fc821b694e,http://localhost:3001/876/rfis/fe13bf4e-dbb6-494a-bb50-b8fc821b694e,Alleato AI - Project Management,There should b a section I can drag and drop a attachement.,There should b a section I can drag and drop a attachement.,open,Feedback: resolved; Batch 1: unproven; attachment row did not persist in DB readback,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-544/screenshots/issue-544-after-drop.png,Batch 1 report,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-544/report.md,https://github.com/MeganHarrison/alleato-pm/issues/544,,
550,09a8dc23-05d6-452c-821c-1e9ee2875ff7,2026-07-01T03:30:40.121119+00:00,Not marked verified,deferred,medium,,Change Events,/876/change-events,http://localhost:3001/876/change-events,Alleato OS,"should be a settings function here I can make changes, refer to procore.","should be a settings function here I can make changes, refer to procore.",open,Feedback: deferred; Audit: deferred; Batch 1: deferred,Deferred,Keep deferred; capture product decision and do not spend verification time unless priority changes.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/issue-550-original.png,Batch 1 report,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-550/report.md,https://github.com/MeganHarrison/alleato-pm/issues/550,https://projects.alleatogroup.com/876/change-events?scommentId=1qHwrYy1OClU95ha2xHi,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F5289976256185480%2Fcomment%2F1qHwrYy1OClU95ha2xHi%2F759275_FHEtqrS47gWWtmd93xLH.png?alt=media&token=4dd6ff20-eeb0-4bd6-8f54-99f9898e35e1
576,9a05709f-037f-491c-a763-793cf7f62f3b,2026-07-01T03:31:03.342693+00:00,Not marked verified,resolved,medium,,Drawings,/876/drawings,http://localhost:3001/876/drawings,Alleato AI - Project Management,"When I open a drawing I should be able to zoom in and out by using the roller thing on the mouse. Take a look at how procore does there drawing function, shoul...","When I open a drawing I should be able to zoom in and out by using the roller thing on the mouse. Take a look at how procore does there drawing function, should match that.",open,Feedback: resolved; Audit: verified fixed; GitHub: CLOSED/COMPLETED,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/drawings/drawings-viewer-working-current.png,Drawings viewer proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/576,https://projects.alleatogroup.com/876/drawings?scommentId=aPzIAcEIGaqrPb9mmcmK,
573,4684d472-3f6f-427e-9700-a4bd0b2d933c,2026-07-01T03:31:01.103532+00:00,Not marked verified,resolved,medium,,Drawings,/876/drawings,http://localhost:3001/876/drawings,Alleato AI - Project Management,"the export should have a PDF and CSV option, it should also be formated correctly. See screen shot for refrence.","the export should have a PDF and CSV option, it should also be formated correctly. See screen shot for refrence.",open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/drawings/drawings-export-menu-current.png,Drawings export proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/573,https://projects.alleatogroup.com/876/drawings?scommentId=1a0DUtk1euScGVnz5MuC,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4775136321983355%2Fcomment%2F1a0DUtk1euScGVnz5MuC%2F374477_aKTD2u50A5XqQHROFQgh.png?alt=media&token=529de535-c896-4126-aea0-bae5f075aa83
571,3547f4a8-f83e-4ead-96e7-e551d8602ced,2026-07-01T03:30:59.519541+00:00,Not marked verified,resolved,medium,,Progress Reports,/876/progress-reports/e3e0d19c-4739-44f0-bee9-91ddebeaca0b,http://localhost:3001/876/progress-reports/e3e0d19c-4739-44f0-bee9-91ddebeaca0b,Exol Morrisville Weekly Progress Report - Project - Exol Morrisville,"Generate PDF isn't working, it should have something coming out formated correctly. Also there should be an ability for someon to manually edit this report as...","Generate PDF isn't working, it should have something coming out formated correctly. Also there should be an ability for someon to manually edit this report as needed, it should also show the current sustancial completion date.",open,Feedback: resolved; Audit: verified fixed; GitHub: CLOSED/COMPLETED,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/progress-reports/progress-report-page-current.png,Progress report proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/571,https://projects.alleatogroup.com/876/progress-reports/e3e0d19c-4739-44f0-bee9-91ddebeaca0b?scommentId=5oOasLbDcxKcbg1zw3TC,
566,c3a39ca1-0d06-41f4-bc4b-ae57dbd1b18f,2026-07-01T03:30:55.349923+00:00,Not marked verified,resolved,medium,,Submittals,/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,http://localhost:3001/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,Alleato AI - Project Management,"I should be able to export this to PDF so I can send it out. It should have these options as well, cover sheet is important. All should have alleato branding.","I should be able to export this to PDF so I can send it out. It should have these options as well, cover sheet is important. All should have alleato branding.",open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/submittals/submittal-detail-current.png,Submittal detail-route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/566,https://projects.alleatogroup.com/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4?scommentId=XBkjOA4mBR5tEU2iggGr,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F1202715454734776%2Fcomment%2FXBkjOA4mBR5tEU2iggGr%2F257449_JTHl0xbPRUESkBnZLMhK.png?alt=media&token=b2eb8ce3-9117-48e0-9301-84dda5647c59
565,a6f0cbc2-a8d4-4643-9cc5-c4f1d575f583,2026-07-01T03:30:54.642586+00:00,Not marked verified,resolved,medium,,Submittals,/876/submittals,http://localhost:3001/876/submittals,Submittals - Project - Exol Morrisville,"Export should be a button I click and then I can pick PDF or CSV, both should be formatted correctly and the PDF should have all the alleato branding.","Export should be a button I click and then I can pick PDF or CSV, both should be formatted correctly and the PDF should have all the alleato branding.",open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/submittals/submittals-page-current.png,Submittals export proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/565,https://projects.alleatogroup.com/876/submittals?scommentId=3legbMXWYGZyctpBZiHP,
564,02d2ddfc-40b0-4e97-9653-6b891c41bc83,2026-07-01T03:30:53.912993+00:00,Not marked verified,resolved,medium,,Submittals,/876/submittals,http://localhost:3001/876/submittals,Alleato AI - Project Management,there should be a gear cog here that I can click and it takes me to submittal settings. See how procore shows there's.,there should be a gear cog here that I can click and it takes me to submittal settings. See how procore shows there's.,open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/submittals/submittal-settings-tab-current.png,Submittals list/settings proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/564,https://projects.alleatogroup.com/876/submittals?scommentId=tqqCeaoXQSmWV47QBn93,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F7537647140757416%2Fcomment%2FtqqCeaoXQSmWV47QBn93%2F557932_zb2lxhDloq6BX2oYZiq0.png?alt=media&token=682015db-c12a-431e-b1f0-e4de99dc96b5
555,2edfbc48-5062-4fed-ac25-ee79e3782209,2026-07-01T03:30:47.179143+00:00,Not marked verified,resolved,medium,,Change Events,/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,http://localhost:3001/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9,001 - Added Opening - Project - Exol Morrisville,Financial markup's are showing up.,Financial markup's are showing up.,open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-detail-current-loaded.png,Change Events route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/555,https://projects.alleatogroup.com/876/change-events/927f077e-3883-441c-b275-58b55a4f9db9?scommentId=U6fxfbb77xRR2TrgzHRX,
553,14b7a65a-a9d6-4ead-bb0a-9897873afe64,2026-07-01T03:30:44.864959+00:00,Not marked verified,resolved,medium,,Change Events,/876/change-events,http://localhost:3001/876/change-events,Alleato OS,Mark up is showing on the cost side and not the revenue side.,Mark up is showing on the cost side and not the revenue side.,open,Feedback: resolved; Audit: verified fixed,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/change-events/change-events-list-expanded-loaded.png,Change Events route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/553,https://projects.alleatogroup.com/876/change-events?scommentId=0rrt7ZfW4uKWqiDuqjY9,
541,a69289ed-1283-457f-94b7-863418b651b0,2026-07-01T02:12:08.265131+00:00,Not marked verified,resolved,medium,,Drawings,/876/drawings,http://localhost:3001/876/drawings,Alleato AI - Project Management,I should be able to edit the drawing names and add them to the correct disciplane even after they are uploaded.,I should be able to edit the drawing names and add them to the correct disciplane even after they are uploaded.,open,Feedback: resolved; Audit: verified fixed; GitHub: CLOSED/COMPLETED,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/drawings/drawing-card-menu-current.png,Drawings edit action proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/541,,
539,3299d6f1-5164-43f3-a92e-88d0d49dfc05,2026-07-01T02:08:55.665614+00:00,Not marked verified,resolved,medium,,Directory,/876/directory,http://localhost:3001/876/directory,Alleato AI - Project Management,I should be able to sort these and roll it up by company.,I should be able to sort these and roll it up by company.,open,Feedback: resolved; Audit: verified fixed; Batch 1: PASS; GitHub: CLOSED/COMPLETED,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-539/screenshots/group-by-clicked.png,Batch 1 report,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-04-brandon-verify/batch-1/issue-539/report.md,https://github.com/MeganHarrison/alleato-pm/issues/539,,
595,2487c06e-caed-425e-9862-93e5f9c8c6ec,2026-07-01T03:51:08.974304+00:00,Marked verified,closed,medium,,Subcontractor Invoicing,/876/invoicing/subcontractor/new,http://localhost:3001/876/invoicing/subcontractor/new,Alleato OS,you should be able to put in a % and it populate.,you should be able to put in a % and it populate.,open,Feedback: closed; Audit: unproven; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/invoicing-subcontractor/invoicing-subcontractor-new-current.png,Invoice route evidence,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/595,https://projects.alleatogroup.com/876/invoicing/subcontractor/new?commitmentType=purchase_order&commitmentId=a0d9d40d-37c5-4739-872e-e5412cbc785b&scommentId=TQseq0FP4IUz9bMgCMU3,
593,e829e8c3-3b73-47ac-802f-b0a749c4a95a,2026-07-01T03:51:07.426817+00:00,Marked verified,closed,medium,,Commitments,/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,http://localhost:3001/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b,000125 — 000125 - Project - Exol Morrisville,"status is approved, I shouldn't be able to come in here and edit items, I would need to put it in draft status and then edit.","status is approved, I shouldn't be able to come in here and edit items, I would need to put it in draft status and then edit.",open,Feedback: closed; Audit: not fixed; GitHub: OPEN/REOPENED,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitments/commitment-detail-playwright-current.png,Current audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/593,https://projects.alleatogroup.com/876/commitments/a0d9d40d-37c5-4739-872e-e5412cbc785b?scommentId=0yOmbzX9NvwcgbWIvq03,
581,c0d1ec07-b60c-4b16-aca9-2ec2d73a3385,2026-07-01T03:31:08.182148+00:00,Marked verified,closed,low,,Meetings,/meetings/01KVTCKJXEWVBTFFVAK956WS9B,http://localhost:3001/meetings/01KVTCKJXEWVBTFFVAK956WS9B,Alleato AI - Project Management,"what is this view file, this is just a bunch of text. not needed.","what is this view file, this is just a bunch of text. not needed.",open,Feedback: closed; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/meetings/meetings-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/581,https://projects.alleatogroup.com/meetings/01KVTCKJXEWVBTFFVAK956WS9B?scommentId=HaeW4uWMDxbvdxyh8ht1,
592,6c828f66-9fc1-4920-8418-eed2dfecbf7d,2026-07-01T03:51:06.463633+00:00,Marked verified,closed,medium,,Commitments,/876/commitments,http://localhost:3001/876/commitments,Alleato AI - Project Management,"delete subcontracts, they are the same as commitments.","delete subcontracts, they are the same as commitments.",open,Feedback: closed; Audit: verified fixed; GitHub: CLOSED/COMPLETED,Verified fixed,No route work needed; mark/keep verified after spot check only if confidence is needed.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/commitments/commitments-page-current.png,Commitments list route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/592,https://projects.alleatogroup.com/876/commitments?scommentId=7WjyELRwZZClAMSjZcL4,
